time	station	Outflow
0.0	"1 of 2"	89.5931
0.0	"2 of 2"	0.0
1.0	"1 of 2"	93.3077
1.0	"2 of 2"	388.1505
2.0	"1 of 2"	92.3941
2.0	"2 of 2"	375.5463
3.0	"1 of 2"	83.2951
3.0	"2 of 2"	346.1514
4.0	"1 of 2"	91.3679
4.0	"2 of 2"	304.6953
5.0	"1 of 2"	81.8487
5.0	"2 of 2"	257.7938
6.0	"1 of 2"	47.4704
6.0	"2 of 2"	211.2122
7.0	"1 of 2"	144.2442
7.0	"2 of 2"	167.7629
8.0	"1 of 2"	386.4391
8.0	"2 of 2"	125.17
9.0	"1 of 2"	389.3796
9.0	"2 of 2"	85.38
10.0	"1 of 2"	307.9315
10.0	"2 of 2"	60.76
11.0	"1 of 2"	298.3322
11.0	"2 of 2"	47.23
12.0	"1 of 2"	234.561
12.0	"2 of 2"	39.17
13.0	"1 of 2"	197.1213
13.0	"2 of 2"	34.06
14.0	"1 of 2"	154.3358
14.0	"2 of 2"	30.77
15.0	"1 of 2"	112.8202
15.0	"2 of 2"	28.47
16.0	"1 of 2"	81.2165
16.0	"2 of 2"	26.97
17.0	"1 of 2"	58.7814
17.0	"2 of 2"	25.89
18.0	"1 of 2"	47.7736
18.0	"2 of 2"	25.11
19.0	"1 of 2"	39.8634
19.0	"2 of 2"	24.55
20.0	"1 of 2"	35.3045
20.0	"2 of 2"	24.14
21.0	"1 of 2"	31.9583
21.0	"2 of 2"	23.84
22.0	"1 of 2"	29.8678
22.0	"2 of 2"	23.63
23.0	"1 of 2"	28.3185
23.0	"2 of 2"	23.46
24.0	"1 of 2"	27.2638
24.0	"2 of 2"	23.35
25.0	"1 of 2"	26.4839
25.0	"2 of 2"	23.26
26.0	"1 of 2"	25.9208
26.0	"2 of 2"	23.19
27.0	"1 of 2"	25.5113
27.0	"2 of 2"	23.14
28.0	"1 of 2"	25.211
28.0	"2 of 2"	23.1
29.0	"1 of 2"	24.9917
29.0	"2 of 2"	23.07
30.0	"1 of 2"	24.8295
30.0	"2 of 2"	23.05
31.0	"1 of 2"	24.71
31.0	"2 of 2"	23.02
32.0	"1 of 2"	24.6209
32.0	"2 of 2"	23.01
33.0	"1 of 2"	24.5519
33.0	"2 of 2"	23.0
34.0	"1 of 2"	24.501
34.0	"2 of 2"	23.0
35.0	"1 of 2"	24.4631
35.0	"2 of 2"	22.99
36.0	"1 of 2"	24.4355
36.0	"2 of 2"	22.99
37.0	"1 of 2"	24.4098
37.0	"2 of 2"	22.99
38.0	"1 of 2"	24.3867
38.0	"2 of 2"	22.99
39.0	"1 of 2"	24.372
39.0	"2 of 2"	22.98
40.0	"1 of 2"	24.364
40.0	"2 of 2"	22.98
41.0	"1 of 2"	24.3603
41.0	"2 of 2"	22.98
42.0	"1 of 2"	24.3565
42.0	"2 of 2"	22.98
43.0	"1 of 2"	24.3533
43.0	"2 of 2"	22.98
44.0	"1 of 2"	24.3505
44.0	"2 of 2"	22.98
45.0	"1 of 2"	24.3481
45.0	"2 of 2"	22.98
46.0	"1 of 2"	24.346
46.0	"2 of 2"	22.97
47.0	"1 of 2"	24.3442
47.0	"2 of 2"	22.97
48.0	"1 of 2"	24.3426
48.0	"2 of 2"	22.97
49.0	"1 of 2"	24.3411
49.0	"2 of 2"	22.97
50.0	"1 of 2"	24.3399
50.0	"2 of 2"	22.97
51.0	"1 of 2"	24.3388
51.0	"2 of 2"	22.97
52.0	"1 of 2"	24.3378
52.0	"2 of 2"	22.97
53.0	"1 of 2"	24.337
53.0	"2 of 2"	22.97
