,Tumut2(410545)(Outflow)(m),Tumut2(410545)(GateOpening)(m),TumutDamPondage(410542)(Outflow)(m),TumutDamPondage(410542)(GateOpening)(m)
2021-01-01 00:00:00,89.5931,0.0,0.0,0.0
2021-01-01 00:15:00,93.3077,8.5,388.1505,8.5
2021-01-01 00:30:00,92.3941,8.5,375.5463,8.5
2021-01-01 00:45:00,83.2951,8.5,346.1514,8.5
2021-01-01 01:00:00,91.3679,8.5,304.6953,8.5
2021-01-01 01:15:00,81.8487,8.5,257.7938,8.5
2021-01-01 01:30:00,47.4704,8.5,211.2122,8.5
2021-01-01 01:45:00,144.2442,8.5,167.7629,8.5
2021-01-01 02:00:00,386.4391,8.5,125.17,8.5
2021-01-01 02:15:00,389.3796,8.5,85.38,8.5
2021-01-01 02:30:00,307.9315,8.5,60.76,8.5
2021-01-01 02:45:00,298.3322,8.5,47.23,8.5
2021-01-01 03:00:00,234.561,8.5,39.17,8.5
2021-01-01 03:15:00,197.1213,8.5,34.06,8.5
2021-01-01 03:30:00,154.3358,8.5,30.77,8.5
2021-01-01 03:45:00,112.8202,8.5,28.47,8.5
2021-01-01 04:00:00,81.2165,8.5,26.97,8.5
2021-01-01 04:15:00,58.7814,7.0,25.89,7.0
2021-01-01 04:30:00,47.7736,7.0,25.11,7.0
2021-01-01 04:45:00,39.8634,7.0,24.55,7.0
2021-01-01 05:00:00,35.3045,7.0,24.14,7.0
2021-01-01 05:15:00,31.9583,7.0,23.84,7.0
2021-01-01 05:30:00,29.8678,7.0,23.63,7.0
2021-01-01 05:45:00,28.3185,7.0,23.46,7.0
2021-01-01 06:00:00,27.2638,7.0,23.35,7.0
2021-01-01 06:15:00,26.4839,7.0,23.26,7.0
2021-01-01 06:30:00,25.9208,7.0,23.19,7.0
2021-01-01 06:45:00,25.5113,7.0,23.14,7.0
2021-01-01 07:00:00,25.211,7.0,23.1,7.0
2021-01-01 07:15:00,24.9917,7.0,23.07,7.0
2021-01-01 07:30:00,24.8295,5.0,23.05,5.0
2021-01-01 07:45:00,24.71,5.0,23.02,5.0
2021-01-01 08:00:00,24.6209,5.0,23.01,5.0
2021-01-01 08:15:00,24.5519,5.0,23.0,5.0
2021-01-01 08:30:00,24.501,5.0,23.0,5.0
2021-01-01 08:45:00,24.4631,5.0,22.99,5.0
2021-01-01 09:00:00,24.4355,5.0,22.99,5.0
2021-01-01 09:15:00,24.4098,5.0,22.99,5.0
2021-01-01 09:30:00,24.3867,5.0,22.99,5.0
2021-01-01 09:45:00,24.372,5.0,22.98,5.0
2021-01-01 10:00:00,24.364,5.0,22.98,5.0
2021-01-01 10:15:00,24.3603,5.0,22.98,5.0
2021-01-01 10:30:00,24.3565,1.0,22.98,1.0
2021-01-01 10:45:00,24.3533,1.0,22.98,1.0
2021-01-01 11:00:00,24.3505,1.0,22.98,1.0
2021-01-01 11:15:00,24.3481,1.0,22.98,1.0
2021-01-01 11:30:00,24.346,1.0,22.97,1.0
2021-01-01 11:45:00,24.3442,1.0,22.97,1.0
2021-01-01 12:00:00,24.3426,1.0,22.97,1.0
2021-01-01 12:15:00,24.3411,1.0,22.97,1.0
2021-01-01 12:30:00,24.3399,1.0,22.97,1.0
2021-01-01 12:45:00,24.3388,1.0,22.97,1.0
2021-01-01 13:00:00,24.3378,1.0,22.97,1.0
2021-01-01 13:15:00,24.337,0.6,22.97,1.0
